address,balance,mnAddressAPI,mnAddressCakeAPI
dJEbxbfufyPF14SC93yxiquECEfq4YSd9L,273713999.9999,False,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,12004936.86965951,False,False
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,1034379.99982957,False,False
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,1032940.00366029,False,False
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,1032759.99982647,False,False
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,1031319.99982647,False,False
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,1031319.99982647,False,False
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,1030779.99983079,False,False
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,1030600.00075629,False,False
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,1030240.00104461,False,False
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,1030239.99992411,False,False
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,1030059.99987529,False,False
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,1029699.99987529,False,False
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,1029519.99982957,False,False
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,1029340.00471974,False,False
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,1029339.99982906,False,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,1029160.00158846,False,False
8UtmC49EVXMbc6PW35NfmQqtnkenV7KJHJ,1027359.99983266,False,False
8NeXnnxfaiYJVkrP9AfHPyphNUu1nekAhj,1027179.99982647,False,False
8Jwby2zCyPjX363JJzxYfKR2HwMCe73w5t,1026459.99992411,False,False
8d15sQSdmA2dsVBJDRpZtTBhw6m9QGfuHc,1026279.99982647,False,False
8HoNzZ8LndkQzUh8TgJgHsv7ifBvvqXBLc,1022859.99982821,False,False
8dkP75Hdby9JsekEsuUyyTwBxEbLjpsKrF,1000000.19931321,False,False
8TncLLVdD1tuFNXiLs4iMvyVdFg64Mt9aT,1000000.09900265,False,False
8dDBEniWkFoPBrECL1bmyjx8xfkg5CdSMa,1000000.0,False,False
8PpuU4SYebFRiaTN5pQSkDeVRYFrPnxW6x,1000000.0,False,False
8b4v3aXuNidKUryW78YjwGRAebPMZKGpUZ,1000000.0,False,False
8YGok1UussFwLQDhqCy6GCCVsPpb5wWKd5,1000000.0,False,False
8Ghh6tsZniuSSR86zrfKVxAtKaTiwHVRtb,1000000.0,False,False
8LJTK5zwhN1xdDgA44Zw85BLLgKExsrPxS,1000000.0,False,False
8P3Zi5h4KuupkvLgWEYdmZnnejEppogDAx,1000000.0,False,False
8SfKi5WBY5JzmsQ9b25y1Mq1LG8JHE4QY3,1000000.0,False,False
8YvEn8JsnAhMaxd8CdNfM9ySzFMgtWiA8M,1000000.0,False,False
dW8t3YHExPw89Kj2wWkRjswVgzr9BceKVX,984414.49963718,False,False
dbvhgqCwKfzbei4RFqHPmRJCWyTcHXjtmE,979989.99991426,False,False
daoRXYVgqmDG3NYpMdeEuCGCfKDo7gJXnJ,979989.99991426,False,False
daKoozhY8ky2X7jMxxdtZtY4ZniNTiS7o6,979989.99991426,False,False
dZXLBFpzY7WYGKQ1p84PRZhse7UXtLVxfN,979989.99991426,False,False
dYVw4mK3pVPZWJq6qZbWDrYVuPpEr9Akmx,979989.99991426,False,False
dWaXUWZsNrJ9UdrPxEzvHov4i5w3Yunazk,979989.99991426,False,False
dW1m4QDdFPBateDRPK2b3pJbJwg3vS1Mq2,979989.99991426,False,False
dVXDWxf3UrjYPqaGEhi8AbHFQ3YSjshQB7,979989.99991426,False,False
dVW7dLZ1vNQf24hyCwzNZVoyvBtcFeMX6q,979989.99991426,False,False
dR7HX8wkGfWRJsEoYfrzHU6uPQH4zFbYPi,979989.99991426,False,False
dPTwNNMjG45hq9HfshMa5oJCXw1P5tKgye,979989.99991426,False,False
dNx92VW47j1A1LMvhDYn1xzJ57AAZqTn2Z,979989.99991426,False,False
dNG3TEA6RaQh93AJwXc2WBQoimWBx2XSPs,979989.99991426,False,False
dYPPbpUVGQhHW3qRohaRKmphFUipN9fs1T,979989.99991426,False,False
dLfiJvXomNMmW26seX32BdZfrH5q2hWPbE,979989.99991426,False,False
dLcQQ7j3bttCMrST5spQAsS5uJHVG22fga,979989.99991426,False,False
dLPwW8R455s3MVuhgXqc27E5hJdU3H5c6A,979989.99991426,False,False
dL5GwgJUvrUHSiLfL9vEQyP1466nimBjQC,979989.99991426,False,False
dKPDWZAMRbH2jqKX5VQdia7RU7GsNURYmR,979989.99991426,False,False
dY37P6Yn7juQt8a1DufmkJ1ELxaPaQDKus,979989.99991426,False,False
